"agent_id","transaction_id","commission_amount"
1,3,"252.58"
19,3,"214.24"
4,5,"19448.29"
14,5,"22370.24"
12,6,"17467.78"
6,6,"14426.61"
5,7,"277.94"
9,7,"229.69"
18,8,"24523.71"
1,8,"22120.38"
1,10,"212.58"
7,10,"190.14"
7,11,"19673.76"
18,11,"20586.09"
6,12,"12316.76"
12,12,"12995.26"
7,13,"12294.87"
18,13,"13532.47"
13,15,"166.92"
7,15,"157.90"
16,16,"10359.68"
10,16,"9110.68"
14,17,"16774.67"
4,17,"13922.33"
5,20,"356.57"
9,20,"364.83"
9,22,"330.33"
11,22,"377.99"
17,23,"410.10"
11,23,"339.24"
16,24,"160.59"
10,24,"186.67"
4,25,"286.58"
14,25,"281.88"
4,26,"15505.88"
20,26,"14411.34"
1,27,"233.40"
7,27,"211.98"
20,28,"332.47"
2,28,"298.44"
12,29,"256.90"
1,29,"221.27"
1,32,"15630.99"
19,32,"18247.97"
17,33,"22208.13"
15,33,"24910.49"
18,34,"217.80"
19,34,"220.79"
15,36,"35442.94"
17,36,"37867.58"
10,37,"255.85"
14,37,"251.59"
10,38,"235.20"
8,38,"286.06"
15,40,"166.29"
17,40,"156.10"
13,41,"18547.31"
7,41,"16331.26"
2,42,"206.01"
10,42,"204.29"
20,44,"338.21"
16,44,"293.15"
12,45,"164.05"
13,45,"167.11"
3,46,"18776.16"
5,46,"20680.10"
11,47,"318.55"
17,47,"377.87"
2,48,"12625.88"
14,48,"12352.60"
20,51,"253.78"
16,51,"260.17"
13,52,"169.23"
6,52,"182.82"
13,53,"189.65"
1,53,"205.80"
7,54,"198.79"
12,54,"227.81"
2,55,"223.49"
16,55,"238.21"
4,57,"20498.45"
8,57,"18952.60"
9,58,"23480.17"
11,58,"23502.24"
9,60,"31255.46"
3,60,"26350.04"
11,61,"174.40"
9,61,"189.00"
18,62,"209.59"
12,62,"253.62"
12,63,"18061.94"
13,63,"16987.21"
3,64,"42964.30"
5,64,"36801.63"
17,66,"20078.14"
3,66,"22072.64"
10,67,"23808.39"
16,67,"22609.26"
11,68,"153.03"
3,68,"186.00"
2,69,"20713.39"
16,69,"23763.59"
4,70,"16788.54"
16,70,"16826.08"
2,72,"331.14"
20,72,"372.78"
14,73,"27151.99"
10,73,"31592.31"
8,74,"23586.82"
20,74,"20220.79"
14,75,"195.94"
16,75,"222.74"
1,76,"206.83"
6,76,"217.51"
3,77,"198.33"
15,77,"239.79"
20,79,"269.73"
8,79,"251.75"
19,80,"194.35"
13,80,"236.04"
14,81,"223.93"
10,81,"256.77"
18,83,"15024.49"
19,83,"15548.09"
3,85,"389.16"
17,85,"370.73"
10,86,"289.14"
20,86,"251.03"
16,89,"12123.98"
4,89,"10764.50"
15,90,"216.08"
11,90,"218.09"
20,91,"147.24"
8,91,"176.39"
1,92,"21898.19"
7,92,"22239.33"
13,93,"10833.26"
7,93,"11141.72"
3,94,"342.38"
11,94,"312.98"
11,95,"30107.24"
5,95,"24826.55"
19,96,"9598.28"
7,96,"10693.35"
12,98,"9651.90"
1,98,"11121.14"
14,100,"19529.65"
10,100,"20372.82"
1,101,"211.44"
19,101,"209.59"
1,102,"170.23"
13,102,"176.24"
5,103,"39004.01"
11,103,"32127.02"
12,104,"180.80"
18,104,"211.06"
6,105,"210.58"
1,105,"172.85"
16,106,"16976.83"
10,106,"15348.57"
6,107,"27396.86"
18,107,"23947.26"
18,108,"195.35"
13,108,"218.60"
3,110,"220.83"
5,110,"223.07"
4,111,"320.44"
8,111,"325.28"
6,112,"182.41"
13,112,"160.44"
6,113,"27017.03"
7,113,"26478.04"
16,114,"297.68"
20,114,"315.47"
19,117,"33228.52"
1,117,"29035.99"
2,119,"16862.47"
4,119,"17467.48"
9,124,"238.09"
11,124,"274.64"
16,125,"156.75"
8,125,"157.92"
20,126,"24458.08"
8,126,"22129.07"
19,127,"13230.16"
1,127,"13833.85"
2,131,"255.42"
16,131,"286.96"
4,132,"29449.57"
20,132,"25807.27"
14,133,"341.11"
8,133,"333.87"
2,134,"18330.77"
16,134,"18611.35"
10,135,"33868.48"
14,135,"28813.93"
12,136,"105.00"
19,136,"111.99"
8,137,"293.56"
14,137,"306.95"
14,138,"217.11"
10,138,"265.29"
14,139,"306.08"
2,139,"261.24"
20,140,"31466.49"
16,140,"30372.52"
19,141,"26179.98"
1,141,"21907.47"
6,144,"20641.35"
1,144,"19103.09"
3,145,"191.69"
15,145,"160.30"
20,146,"168.90"
10,146,"149.32"
10,147,"19875.54"
14,147,"21211.74"
10,148,"239.84"
14,148,"233.66"
4,149,"259.18"
2,149,"234.52"
7,150,"232.17"
13,150,"252.68"
1,151,"144.61"
7,151,"138.24"
17,152,"262.60"
3,152,"259.59"
12,153,"208.48"
13,153,"186.15"
5,154,"37401.01"
17,154,"44988.99"
2,157,"35599.85"
10,157,"30242.62"
16,158,"273.11"
20,158,"238.45"
6,159,"197.25"
12,159,"162.54"
17,160,"329.62"
5,160,"324.23"
2,161,"302.92"
20,161,"350.75"
2,162,"10855.66"
10,162,"12847.97"
16,163,"210.68"
10,163,"234.07"
19,164,"16244.82"
6,164,"16068.08"
10,165,"29274.28"
2,165,"26198.08"
11,166,"199.52"
3,166,"233.55"
6,167,"255.28"
1,167,"211.46"
4,171,"23159.70"
8,171,"26881.75"
10,173,"355.45"
16,173,"365.81"
1,174,"18600.00"
13,174,"22344.61"
18,175,"14452.65"
7,175,"16969.98"
15,176,"310.72"
5,176,"292.54"
17,177,"324.82"
9,177,"311.57"
11,178,"44277.11"
15,178,"38504.99"
2,179,"375.79"
8,179,"337.52"
12,180,"204.95"
18,180,"199.36"
13,181,"147.36"
18,181,"138.25"
6,182,"161.57"
12,182,"155.05"
11,184,"390.77"
3,184,"422.15"
11,186,"316.10"
3,186,"286.81"
12,187,"231.20"
13,187,"199.45"
3,190,"242.26"
17,190,"277.58"
17,191,"26526.67"
11,191,"26154.15"
16,192,"345.40"
10,192,"322.85"
12,193,"19114.27"
7,193,"19947.46"
9,194,"365.77"
5,194,"311.87"
16,196,"25316.90"
14,196,"21080.78"
1,197,"11246.01"
7,197,"13575.03"
16,199,"28041.72"
14,199,"25282.64"
7,202,"232.13"
13,202,"193.91"
17,203,"26101.91"
3,203,"28012.90"
2,204,"331.35"
14,204,"337.08"
19,205,"25374.06"
7,205,"23017.65"
15,206,"390.54"
17,206,"344.29"
5,207,"218.23"
17,207,"200.45"
18,208,"348.32"
12,208,"316.02"
15,209,"26743.67"
9,209,"25173.24"
5,210,"390.66"
3,210,"383.19"
18,211,"14264.50"
19,211,"12242.00"
2,212,"17289.81"
16,212,"17148.46"
16,213,"165.63"
10,213,"143.56"
7,215,"236.37"
12,215,"240.64"
1,216,"197.63"
19,216,"238.79"
9,218,"26769.08"
17,218,"27548.17"
14,219,"170.47"
4,219,"200.03"
9,220,"352.34"
17,220,"309.03"
11,221,"253.94"
17,221,"267.35"
4,222,"15237.04"
14,222,"14732.73"
15,224,"23349.06"
9,224,"27689.31"
13,225,"212.87"
7,225,"207.69"
7,227,"187.54"
18,227,"182.17"
8,228,"258.94"
10,228,"259.16"
